,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
121706,0,ADULT,174,2,45 to 54 years,X,Main Library,July,2016,p,phone,False,2004,False,0.0
175210,0,ADULT,842,421,45 to 54 years,C2,Chinatown,October,2013,z,email,True,2003,False,6.0
245639,0,ADULT,7,0,25 to 34 years,M6,Mission,September,2014,z,email,True,2014,False,9.0
405732,0,ADULT,12,15,35 to 44 years,W2,West Portal,April,2016,z,email,True,2013,False,7.0
280655,0,ADULT,1,1,25 to 34 years,I5,Ingleside,June,2016,z,email,True,2016,True,0.0
348063,1,JUVENILE,105,0,0 to 9 years,W2,West Portal,March,2016,z,email,True,2011,False,7.0
244042,0,ADULT,0,0,35 to 44 years,N6,North Beach,None,None,z,email,True,2015,False,3.0
174052,0,ADULT,49,23,35 to 44 years,X,Main Library,August,2015,z,email,True,2009,True,0.0
291443,0,ADULT,21,17,45 to 54 years,G4,Glen Park,January,2016,p,phone,False,2008,False,11.0
279269,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2008,False,5.0
10122,0,ADULT,116,128,55 to 59 years,X,Main Library,December,2013,p,phone,True,2009,False,8.0
148950,0,ADULT,8,0,45 to 54 years,X,Main Library,February,2012,z,email,True,2008,True,0.0
203219,16,DIGITAL ACCESS CARD,0,0,20 to 24 years,X,Main Library,None,None,z,email,True,2015,False,0.0
415500,1,JUVENILE,35,0,0 to 9 years,R3,Richmond,July,2016,a,print,False,2013,False,1.0
1749,3,SENIOR,0,0,65 to 74 years,N4,Noe Valley/Sally Brunn,None,None,z,email,True,2014,True,0.0
50903,3,SENIOR,1,1,65 to 74 years,P7,Potrero,May,2015,p,phone,False,2015,False,10.0
82186,0,ADULT,828,276,35 to 44 years,M4,Merced,March,2016,z,email,True,2006,False,7.0
103123,0,ADULT,16,0,35 to 44 years,P7,Potrero,May,2015,p,phone,True,2008,False,9.0
61787,0,ADULT,167,117,35 to 44 years,G4,Glen Park,October,2010,z,email,True,2003,False,0.0
34012,0,ADULT,28,8,25 to 34 years,M8,Mission Bay,December,2013,z,email,True,2010,False,3.0
297652,0,ADULT,192,8,45 to 54 years,W2,West Portal,July,2014,z,email,True,2009,False,7.0
322444,1,JUVENILE,889,52,0 to 9 years,S7,Sunset,July,2016,z,email,True,2012,False,4.0
141781,0,ADULT,274,1,60 to 64 years,X,Main Library,March,2016,p,phone,False,2008,False,0.0
406047,1,JUVENILE,2,0,0 to 9 years,I5,Ingleside,August,2012,z,email,True,2012,False,11.0
115586,0,ADULT,0,0,35 to 44 years,O7,Ortega,None,None,z,email,True,2013,False,8.0
36417,0,ADULT,117,60,55 to 59 years,W2,West Portal,January,2015,z,email,True,2003,False,7.0
368257,1,JUVENILE,18,0,0 to 9 years,C2,Chinatown,June,2016,z,email,True,2015,False,3.0
341778,1,JUVENILE,1668,1378,0 to 9 years,W2,West Portal,July,2016,z,email,True,2008,False,7.0
197526,0,ADULT,646,162,60 to 64 years,C2,Chinatown,July,2016,p,phone,False,2003,False,8.0
253586,0,ADULT,3,0,25 to 34 years,M6,Mission,August,2012,z,email,True,2012,False,0.0
263515,0,ADULT,397,71,45 to 54 years,W4,Western Addition,July,2016,z,email,True,2008,False,5.0
